zip,service_type,subregion
2565,Electricity,NEWE
2568,Electricity,NEWE
2571,Electricity,NEWE
2573,Electricity,NEWE
2574,Electricity,NEWE
2575,Electricity,NEWE
2576,Electricity,NEWE
2584,Electricity,NEWE
2601,Electricity,NEWE
2630,Electricity,NEWE
2631,Electricity,NEWE
2632,Electricity,NEWE
2633,Electricity,NEWE
2634,Electricity,NEWE
2635,Electricity,NEWE
2637,Electricity,NEWE
2638,Electricity,NEWE
2639,Electricity,NEWE
2641,Electricity,NEWE
2642,Electricity,NEWE
2643,Electricity,NEWE
2644,Electricity,NEWE
2645,Electricity,NEWE
2646,Electricity,NEWE
2647,Electricity,NEWE
2648,Electricity,NEWE
2649,Electricity,NEWE
2650,Electricity,NEWE
2651,Electricity,NEWE
2652,Electricity,NEWE
2653,Electricity,NEWE
2655,Electricity,NEWE
2657,Electricity,NEWE
2659,Electricity,NEWE
2660,Electricity,NEWE
2661,Electricity,NEWE
2662,Electricity,NEWE
2663,Electricity,NEWE
2664,Electricity,NEWE
2666,Electricity,NEWE
2667,Electricity,NEWE
2668,Electricity,NEWE
2669,Electricity,NEWE
2670,Electricity,NEWE
2671,Electricity,NEWE
2672,Electricity,NEWE
2673,Electricity,NEWE
2675,Electricity,NEWE
2702,Electricity,NEWE
2703,Electricity,NEWE
2712,Electricity,NEWE
2713,Electricity,NEWE
2714,Electricity,NEWE
2715,Electricity,NEWE
2717,Electricity,NEWE
2718,Electricity,NEWE
2719,Electricity,NEWE
2720,Electricity,NEWE
2721,Electricity,NEWE
2722,Electricity,NEWE
2723,Electricity,NEWE
2724,Electricity,NEWE
2725,Electricity,NEWE
2726,Electricity,NEWE
2738,Electricity,NEWE
2739,Electricity,NEWE
2740,Electricity,NEWE
2741,Electricity,NEWE
2742,Electricity,NEWE
2743,Electricity,NEWE
2744,Electricity,NEWE
2745,Electricity,NEWE
2746,Electricity,NEWE
2747,Electricity,NEWE
2748,Electricity,NEWE
2760,Electricity,NEWE
2761,Electricity,NEWE
2762,Electricity,NEWE
2763,Electricity,NEWE
2764,Electricity,NEWE
2766,Electricity,NEWE
2767,Electricity,NEWE
2768,Electricity,NEWE
2769,Electricity,NEWE
2770,Electricity,NEWE
2771,Electricity,NEWE
2777,Electricity,NEWE
2779,Electricity,NEWE
2780,Electricity,NEWE
2783,Electricity,NEWE
2790,Electricity,NEWE
2791,Electricity,NEWE
2801,Electricity,NEWE
2802,Electricity,NEWE
2804,Electricity,NEWE
2806,Electricity,NEWE
2807,Electricity,NEWE
2808,Electricity,NEWE
2809,Electricity,NEWE
2812,Electricity,NEWE
2813,Electricity,NEWE
2814,Electricity,NEWE
2815,Electricity,NEWE
2816,Electricity,NEWE
2817,Electricity,NEWE
2818,Electricity,NEWE
2822,Electricity,NEWE
2823,Electricity,NEWE
2824,Electricity,NEWE
2825,Electricity,NEWE
2826,Electricity,NEWE
2827,Electricity,NEWE
2828,Electricity,NEWE
2829,Electricity,NEWE
2830,Electricity,NEWE
2831,Electricity,NEWE
2832,Electricity,NEWE
2833,Electricity,NEWE
2835,Electricity,NEWE
2836,Electricity,NEWE
2837,Electricity,NEWE
2838,Electricity,NEWE
2839,Electricity,NEWE
2840,Electricity,NEWE
2841,Electricity,NEWE
2842,Electricity,NEWE
2852,Electricity,NEWE
2857,Electricity,NEWE
2858,Electricity,NEWE
2859,Electricity,NEWE
2860,Electricity,NEWE
2861,Electricity,NEWE
2862,Electricity,NEWE
2863,Electricity,NEWE
2864,Electricity,NEWE
2865,Electricity,NEWE
2871,Electricity,NEWE
2872,Electricity,NEWE
2873,Electricity,NEWE
2874,Electricity,NEWE
2875,Electricity,NEWE
2876,Electricity,NEWE
2877,Electricity,NEWE
2878,Electricity,NEWE
2879,Electricity,NEWE
2880,Electricity,NEWE
2881,Electricity,NEWE
2882,Electricity,NEWE
2883,Electricity,NEWE
2885,Electricity,NEWE
2886,Electricity,NEWE
2887,Electricity,NEWE
2888,Electricity,NEWE
2889,Electricity,NEWE
2891,Electricity,NEWE
2892,Electricity,NEWE
2893,Electricity,NEWE
2894,Electricity,NEWE
2895,Electricity,NEWE
2896,Electricity,NEWE
2898,Electricity,NEWE
2901,Electricity,NEWE
2902,Electricity,NEWE
2903,Electricity,NEWE
2904,Electricity,NEWE
2905,Electricity,NEWE
2906,Electricity,NEWE
2907,Electricity,NEWE
2908,Electricity,NEWE
2909,Electricity,NEWE
2910,Electricity,NEWE
2911,Electricity,NEWE
2912,Electricity,NEWE
2914,Electricity,NEWE
2915,Electricity,NEWE
2916,Electricity,NEWE
2917,Electricity,NEWE
2918,Electricity,NEWE
2919,Electricity,NEWE
2920,Electricity,NEWE
2921,Electricity,NEWE
2940,Electricity,NEWE
3031,Electricity,NEWE
3032,Electricity,NEWE
3033,Electricity,NEWE
3034,Electricity,NEWE
3036,Electricity,NEWE
3037,Electricity,NEWE
3038,Electricity,NEWE
3040,Electricity,NEWE
3041,Electricity,NEWE
3042,Electricity,NEWE
3043,Electricity,NEWE
3044,Electricity,NEWE
3045,Electricity,NEWE
3046,Electricity,NEWE
3047,Electricity,NEWE
3048,Electricity,NEWE
3049,Electricity,NEWE
3051,Electricity,NEWE
3052,Electricity,NEWE
3053,Electricity,NEWE
3054,Electricity,NEWE
3055,Electricity,NEWE
3057,Electricity,NEWE
3060,Electricity,NEWE
3061,Electricity,NEWE
3062,Electricity,NEWE
3063,Electricity,NEWE
3064,Electricity,NEWE
3070,Electricity,NEWE
3071,Electricity,NEWE
3073,Electricity,NEWE
3076,Electricity,NEWE
